First Name,Last Name,Full Name,District (Constituency),Province/Territory,Party,Email
Kody,Blois,Kody Blois,Kings—Hants,Nova Scotia,Liberal,kody.blois@parl.gc.ca
Patrick,Bonin,Patrick Bonin,Repentigny,Quebec,Bloc Québécois,patrick.bonin@parl.gc.ca
Steven,Bonk,Steven Bonk,Souris—Moose Mountain,Saskatchewan,Conservative,steven.bonk@parl.gc.ca
Kathy,Borrelli,Kathy Borrelli,Windsor—Tecumseh—Lakeshore,Ontario,Conservative,kathy.borrelli@parl.gc.ca
Alexandre,Boulerice,Alexandre Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,alexandre.boulerice@parl.gc.ca
Richard,Bragdon,Richard Bragdon,Tobique—Mactaquac,New Brunswick,Conservative,richard.bragdon@parl.gc.ca
John,Brassard,John Brassard,Barrie South—Innisfil,Ontario,Conservative,john.brassard@parl.gc.ca
Élisabeth,Brière,Élisabeth Brière,Sherbrooke,Quebec,Liberal,elisabeth.briere@parl.gc.ca
Larry,Brock,Larry Brock,Brantford—Brant South—Six Nations,Ontario,Conservative,larry.brock@parl.gc.ca
Alexis,Brunelle-Duceppe,Alexis Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Québécois,Alexis.Brunelle-Duceppe@parl.gc.ca
Jim,Bélanger,Jim Bélanger,Sudbury East—Manitoulin—Nickel Belt,Ontario,Conservative,jim.belanger@parl.gc.ca
Blaine,Calkins,Blaine Calkins,Ponoka—Didsbury,Alberta,Conservative,blaine.calkins@parl.gc.ca
Frank,Caputo,Frank Caputo,Kamloops—Thompson—Nicola,British Columbia,Conservative,frank.caputo@parl.gc.ca
Mark,Carney,Mark Carney,Nepean,Ontario,Liberal,mark.carney@parl.gc.ca
Ben,Carr,Ben Carr,Winnipeg South Centre,Manitoba,Liberal,ben.carr@parl.gc.ca
Sean,Casey,Sean Casey,Charlottetown,Prince Edward Island,Liberal,sean.casey@parl.gc.ca
Bardish,Chagger,Bardish Chagger,Waterloo,Ontario,Liberal,bardish.chagger@parl.gc.ca
Adam,Chambers,Adam Chambers,Simcoe North,Ontario,Conservative,adam.chambers@parl.gc.ca
François-Philippe,Champagne,François-Philippe Champagne,Saint-Maurice—Champlain,Quebec,Liberal,Francois-Philippe.Champagne@parl.gc.ca
Martin,Champoux,Martin Champoux,Drummond,Quebec,Bloc Québécois,martin.champoux@parl.gc.ca
Wade,Chang,Wade Chang,Burnaby Central,British Columbia,Liberal,wade.chang@parl.gc.ca
Rebecca,Chartrand,Rebecca Chartrand,Churchill—Keewatinook Aski,Manitoba,Liberal,rebecca.chartrand@parl.gc.ca
Sophie,Chatel,Sophie Chatel,Pontiac—Kitigan Zibi,Quebec,Liberal,sophie.chatel@parl.gc.ca
Shaun,Chen,Shaun Chen,Scarborough North,Ontario,Liberal,shaun.chen@parl.gc.ca
Madeleine,Chenette,Madeleine Chenette,Thérèse-De Blainville,Quebec,Liberal,madeleine.chenette@parl.gc.ca
Maggie,Chi,Maggie Chi,Don Valley North,Ontario,Liberal,maggie.chi@parl.gc.ca
Nick,Chicken,Nick Chicken,Perth—Middlesex,Ontario,Conservative,nick.chicken@parl.gc.ca
Leslie,Church,Leslie Church,Toronto—St. Paul's,Ontario,Liberal,leslie.church@parl.gc.ca
Braedon,Clark,Braedon Clark,Sackville—Bedford—Preston,Nova Scotia,Liberal,braedon.clark@parl.gc.ca
Sandra,Cobena,Sandra Cobena,Newmarket—Aurora,Ontario,Conservative,sandra.cobena@parl.gc.ca
Connie,Cody,Connie Cody,Cambridge,Ontario,Conservative,connie.cody@parl.gc.ca
Paul,Connors,Paul Connors,Avalon,Newfoundland and Labrador,Liberal,paul.connors@parl.gc.ca
Michael,Cooper,Michael Cooper,St. Albert—Sturgeon River,Alberta,Conservative,michael.cooper@parl.gc.ca
Serge,Cormier,Serge Cormier,Acadie—Bathurst,New Brunswick,Liberal,serge.cormier@parl.gc.ca
Michael,Coteau,Michael Coteau,Scarborough—Woburn,Ontario,Liberal,michael.coteau@parl.gc.ca
Michael,D. Chong,Michael D. Chong,Wellington—Halton Hills North,Ontario,Conservative,michael.chong@parl.gc.ca
Julie,Dabrusin,Julie Dabrusin,Toronto—Danforth,Ontario,Liberal,julie.dabrusin@parl.gc.ca
Marc,Dalton,Marc Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,marc.dalton@parl.gc.ca
Raquel,Dancho,Raquel Dancho,Kildonan—St. Paul,Manitoba,Conservative,raquel.dancho@parl.gc.ca
Marianne,Dandurand,Marianne Dandurand,Compton—Stanstead,Quebec,Liberal,marianne.dandurand@parl.gc.ca
John-Paul,Danko,John-Paul Danko,Hamilton West—Ancaster—Dundas,Ontario,Liberal,John-Paul.Danko@parl.gc.ca
Scot,Davidson,Scot Davidson,New Tecumseth—Gwillimbury,Ontario,Conservative,scot.davidson@parl.gc.ca
Don,Davies,Don Davies,Vancouver Kingsway,British Columbia,NDP,don.davies@parl.gc.ca
Fred,Davies,Fred Davies,Niagara South,Ontario,Conservative,fred.davies@parl.gc.ca
Mike,Dawson,Mike Dawson,Miramichi—Grand Lake,New Brunswick,Conservative,mike.dawson@parl.gc.ca
Claude,DeBellefeuille,Claude DeBellefeuille,Beauharnois—Salaberry—Soulanges—Huntingdon,Quebec,Bloc Québécois,claude.debellefeuille@parl.gc.ca
Kelly,DeRidder,Kelly DeRidder,Kitchener Centre,Ontario,Conservative,kelly.deridder@parl.gc.ca
Gérard,Deltell,Gérard Deltell,Louis-Saint-Laurent—Akiawenhrahk,Quebec,Conservative,gerard.deltell@parl.gc.ca
Alexis,Deschênes,Alexis Deschênes,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Quebec,Bloc Québécois,alexis.deschenes@parl.gc.ca
Guillaume,Deschênes-Thériault,Guillaume Deschênes-Thériault,Madawaska—Restigouche,New Brunswick,Liberal,Guillaume.Deschenes-Theriault@parl.gc.ca
Caroline,Desrochers,Caroline Desrochers,Trois-Rivières,Quebec,Liberal,caroline.desrochers@parl.gc.ca
Sukh,Dhaliwal,Sukh Dhaliwal,Surrey Newton,British Columbia,Liberal,sukh.dhaliwal@parl.gc.ca
Anju,Dhillon,Anju Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,anju.dhillon@parl.gc.ca
Kerry,Diotte,Kerry Diotte,Edmonton Griesbach,Alberta,Conservative,kerry.diotte@parl.gc.ca
Todd,Doherty,Todd Doherty,Cariboo—Prince George,British Columbia,Conservative,todd.doherty@parl.gc.ca
Terry,Dowdall,Terry Dowdall,Simcoe—Grey,Ontario,Conservative,terry.dowdall@parl.gc.ca
Jean-Yves,Duclos,Jean-Yves Duclos,Québec Centre,Quebec,Liberal,Jean-Yves.Duclos@parl.gc.ca
Terry,Duguid,Terry Duguid,Winnipeg South,Manitoba,Liberal,terry.duguid@parl.gc.ca
Eric,Duncan,Eric Duncan,Stormont—Dundas—Glengarry,Ontario,Conservative,eric.duncan@parl.gc.ca
Julie,Dzerowicz,Julie Dzerowicz,Davenport,Ontario,Liberal,julie.dzerowicz@parl.gc.ca
Philip,Earle,Philip Earle,Labrador,Newfoundland and Labrador,Liberal,philip.earle@parl.gc.ca
Ali,Ehsassi,Ali Ehsassi,Willowdale,Ontario,Liberal,ali.ehsassi@parl.gc.ca
Fayçal,El-Khoury,Fayçal El-Khoury,Laval—Les Îles,Quebec,Liberal,Faycal.El-Khoury@parl.gc.ca
Dave,Epp,Dave Epp,Chatham-Kent—Leamington,Ontario,Conservative,dave.epp@parl.gc.ca
Nathaniel,Erskine-Smith,Nathaniel Erskine-Smith,Beaches—East York,Ontario,Liberal,Nathaniel.Erskine-Smith@parl.gc.ca
Doug,Eyolfson,Doug Eyolfson,Winnipeg West,Manitoba,Liberal,doug.eyolfson@parl.gc.ca
Rosemarie,Falk,Rosemarie Falk,Battlefords—Lloydminster—Meadow Lake,Saskatchewan,Conservative,rosemarie.falk@parl.gc.ca
Ted,Falk,Ted Falk,Provencher,Manitoba,Conservative,ted.falk@parl.gc.ca
Jessica,Fancy,Jessica Fancy,South Shore—St. Margarets,Nova Scotia,Liberal,jessica.fancy@parl.gc.ca
Bruce,Fanjoy,Bruce Fanjoy,Carleton,Ontario,Liberal,bruce.fanjoy@parl.gc.ca
Greg,Fergus,Greg Fergus,Hull—Aylmer,Quebec,Liberal,greg.fergus@parl.gc.ca
Darren,Fisher,Darren Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,darren.fisher@parl.gc.ca
Peter,Fonseca,Peter Fonseca,Mississauga East—Cooksville,Ontario,Liberal,peter.fonseca@parl.gc.ca
Mona,Fortier,Mona Fortier,Ottawa—Vanier—Gloucester,Ontario,Liberal,mona.fortier@parl.gc.ca
Peter,Fragiskatos,Peter Fragiskatos,London Centre,Ontario,Liberal,peter.fragiskatos@parl.gc.ca
Sean,Fraser,Sean Fraser,Central Nova,Nova Scotia,Liberal,sean.fraser@parl.gc.ca
Hedy,Fry,Hedy Fry,Vancouver Centre,British Columbia,Liberal,hedy.fry@parl.gc.ca
Stephen,Fuhr,Stephen Fuhr,Kelowna,British Columbia,Liberal,stephen.fuhr@parl.gc.ca
Iqwinder,Gaheer,Iqwinder Gaheer,Mississauga—Malton,Ontario,Liberal,iqwinder.gaheer@parl.gc.ca
Anna,Gainey,Anna Gainey,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,anna.gainey@parl.gc.ca
Cheryl,Gallant,Cheryl Gallant,Algonquin—Renfrew—Pembroke,Ontario,Conservative,cheryl.gallant@parl.gc.ca
Jean-Denis,Garon,Jean-Denis Garon,Mirabel,Quebec,Bloc Québécois,Jean-Denis.Garon@parl.gc.ca
Vince,Gasparro,Vince Gasparro,Eglinton—Lawrence,Ontario,Liberal,vince.gasparro@parl.gc.ca
Marie-Hélène,Gaudreau,Marie-Hélène Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois,Marie-Helene.Gaudreau@parl.gc.ca
Leah,Gazan,Leah Gazan,Winnipeg Centre,Manitoba,NDP,leah.gazan@parl.gc.ca
Garnett,Genuis,Garnett Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,garnett.genuis@parl.gc.ca
Mark,Gerretsen,Mark Gerretsen,Kingston and the Islands,Ontario,Liberal,mark.gerretsen@parl.gc.ca
Amarjeet,Gill,Amarjeet Gill,Brampton West,Ontario,Conservative,amarjeet.gill@parl.gc.ca
Dalwinder,Gill,Dalwinder Gill,Calgary McKnight,Alberta,Conservative,dalwinder.gill@parl.gc.ca
Harb,Gill,Harb Gill,Windsor West,Ontario,Conservative,harb.gill@parl.gc.ca
Marilène,Gill,Marilène Gill,Côte-Nord—Kawawachikamach—Nitassinan,Quebec,Bloc Québécois,marilene.gill@parl.gc.ca
Sukhman,Gill,Sukhman Gill,Abbotsford—South Langley,British Columbia,Conservative,sukhman.gill@parl.gc.ca
Marilyn,Gladu,Marilyn Gladu,Sarnia—Lambton—Bkejwanong,Ontario,Conservative,marilyn.gladu@parl.gc.ca
Joël,Godin,Joël Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,joël.godin@parl.gc.ca
Laila,Goodridge,Laila Goodridge,Fort McMurray—Cold Lake,Alberta,Conservative,laila.goodridge@parl.gc.ca
Karina,Gould,Karina Gould,Burlington,Ontario,Liberal,karina.gould@parl.gc.ca
Jacques,Gourde,Jacques Gourde,Lévis—Lotbinière,Quebec,Conservative,jacques.gourde@parl.gc.ca
Wade,Grant,Wade Grant,Vancouver Quadra,British Columbia,Liberal,wade.grant@parl.gc.ca
Will,Greaves,Will Greaves,Victoria,British Columbia,Liberal,will.greaves@parl.gc.ca
Jason,Groleau,Jason Groleau,Beauce,Quebec,Conservative,jason.groleau@parl.gc.ca
Claude,Guay,Claude Guay,LaSalle—Émard—Verdun,Quebec,Liberal,claude.guay@parl.gc.ca
Michael,Guglielmin,Michael Guglielmin,Vaughan—Woodbridge,Ontario,Conservative,michael.guglielmin@parl.gc.ca
Steven,Guilbeault,Steven Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,steven.guilbeault@parl.gc.ca
Mandy,Gull-Masty,Mandy Gull-Masty,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Liberal,Mandy.Gull-Masty@parl.gc.ca
Aaron,Gunn,Aaron Gunn,North Island—Powell River,British Columbia,Conservative,aaron.gunn@parl.gc.ca
Bernard,Généreux,Bernard Généreux,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,Quebec,Conservative,bernard.genereux@parl.gc.ca
Patty,Hajdu,Patty Hajdu,Thunder Bay—Superior North,Ontario,Liberal,patty.hajdu@parl.gc.ca
Jasraj,Hallan,Jasraj Hallan,Calgary East,Alberta,Conservative,jasraj.hallan@parl.gc.ca
Brendan,Hanley,Brendan Hanley,Yukon,Yukon,Liberal,brendan.hanley@parl.gc.ca
Gabriel,Hardy,Gabriel Hardy,Montmorency—Charlevoix,Quebec,Conservative,gabriel.hardy@parl.gc.ca
Emma,Harrison,Emma Harrison,Peterborough,Ontario,Liberal,emma.harrison@parl.gc.ca
Lisa,Hepfner,Lisa Hepfner,Hamilton Mountain,Ontario,Liberal,lisa.hepfner@parl.gc.ca
Alana,Hirtle,Alana Hirtle,Cumberland—Colchester,Nova Scotia,Liberal,alana.hirtle@parl.gc.ca
Randy,Hoback,Randy Hoback,Prince Albert,Saskatchewan,Conservative,randy.hoback@parl.gc.ca
Tim,Hodgson,Tim Hodgson,Markham—Thornhill,Ontario,Liberal,tim.hodgson@parl.gc.ca
Corey,Hogan,Corey Hogan,Calgary Confederation,Alberta,Liberal,corey.hogan@parl.gc.ca
Kurt,Holman,Kurt Holman,London—Fanshawe,Ontario,Conservative,kurt.holman@parl.gc.ca
Anthony,Housefather,Anthony Housefather,Mount Royal,Quebec,Liberal,anthony.housefather@parl.gc.ca
Ahmed,Hussen,Ahmed Hussen,York South—Weston—Etobicoke,Ontario,Liberal,ahmed.hussen@parl.gc.ca
Angelo,Iacono,Angelo Iacono,Alfred-Pellan,Quebec,Liberal,angelo.iacono@parl.gc.ca
Lori,Idlout,Lori Idlout,Nunavut,Nunavut,NDP,lori.idlout@parl.gc.ca
David,J. McGuinty,David J. McGuinty,Ottawa South,Ontario,Liberal,david.mcguinty@parl.gc.ca
Grant,Jackson,Grant Jackson,Brandon—Souris,Manitoba,Conservative,grant.jackson@parl.gc.ca
Helena,Jaczek,Helena Jaczek,Markham—Stouffville,Ontario,Liberal,helena.jaczek@parl.gc.ca
Tamara,Jansen,Tamara Jansen,Cloverdale—Langley City,British Columbia,Conservative,tamara.jansen@parl.gc.ca
Matt,Jeneroux,Matt Jeneroux,Edmonton Riverbend,Alberta,Conservative,matt.jeneroux@parl.gc.ca
Jamil,Jivani,Jamil Jivani,Bowmanville—Oshawa North,Ontario,Conservative,jamil.jivani@parl.gc.ca
Gord,Johns,Gord Johns,Courtenay—Alberni,British Columbia,NDP,gord.johns@parl.gc.ca
Mélanie,Joly,Mélanie Joly,Ahuntsic-Cartierville,Quebec,Liberal,melanie.joly@parl.gc.ca
Natilien,Joseph,Natilien Joseph,Longueuil—Saint-Hubert,Quebec,Liberal,natilien.joseph@parl.gc.ca
Arielle,Kayabaga,Arielle Kayabaga,London West,Ontario,Liberal,arielle.kayabaga@parl.gc.ca
Mike,Kelloway,Mike Kelloway,Sydney—Glace Bay,Nova Scotia,Liberal,mike.kelloway@parl.gc.ca
Pat,Kelly,Pat Kelly,Calgary Crowfoot,Alberta,Conservative,pat.kelly@parl.gc.ca
Iqra,Khalid,Iqra Khalid,Mississauga—Erin Mills,Ontario,Liberal,iqra.khalid@parl.gc.ca
Arpan,Khanna,Arpan Khanna,Oxford,Ontario,Conservative,arpan.khanna@parl.gc.ca
Jeff,Kibble,Jeff Kibble,Cowichan—Malahat—Langford,British Columbia,Conservative,jeff.kibble@parl.gc.ca
Rhonda,Kirkland,Rhonda Kirkland,Oshawa,Ontario,Conservative,rhonda.kirkland@parl.gc.ca
Ernie,Klassen,Ernie Klassen,South Surrey—White Rock,British Columbia,Liberal,ernie.klassen@parl.gc.ca
Tom,Kmiec,Tom Kmiec,Calgary Shepard,Alberta,Conservative,tom.kmiec@parl.gc.ca
Helena,Konanz,Helena Konanz,Similkameen—South Okanagan—West Kootenay,British Columbia,Conservative,helena.konanz@parl.gc.ca
Annie,Koutrakis,Annie Koutrakis,Vimy,Quebec,Liberal,annie.koutrakis@parl.gc.ca
Michael,Kram,Michael Kram,Regina—Wascana,Saskatchewan,Conservative,michael.kram@parl.gc.ca
Shelby,Kramp-Neuman,Shelby Kramp-Neuman,Hastings—Lennox and Addington—Tyendinaga,Ontario,Conservative,Shelby.Kramp-Neuman@parl.gc.ca
Tamara,Kronis,Tamara Kronis,Nanaimo—Ladysmith,British Columbia,Conservative,tamara.kronis@parl.gc.ca
Ned,Kuruc,Ned Kuruc,Hamilton East—Stoney Creek,Ontario,Conservative,ned.kuruc@parl.gc.ca
Stephanie,Kusie,Stephanie Kusie,Calgary Midnapore,Alberta,Conservative,stephanie.kusie@parl.gc.ca
Jenny,Kwan,Jenny Kwan,Vancouver East,British Columbia,NDP,jenny.kwan@parl.gc.ca
Mike,Lake,Mike Lake,Leduc—Wetaskiwin,Alberta,Conservative,mike.lake@parl.gc.ca
Marie-France,Lalonde,Marie-France Lalonde,Orléans,Ontario,Liberal,Marie-France.Lalonde@parl.gc.ca
Emmanuella,Lambropoulos,Emmanuella Lambropoulos,Saint-Laurent,Quebec,Liberal,emmanuella.lambropoulos@parl.gc.ca
Kevin,Lamoureux,Kevin Lamoureux,Winnipeg North,Manitoba,Liberal,kevin.lamoureux@parl.gc.ca
Melissa,Lantsman,Melissa Lantsman,Thornhill,Ontario,Conservative,melissa.lantsman@parl.gc.ca
Linda,Lapointe,Linda Lapointe,Rivière-des-Mille-Îles,Quebec,Liberal,linda.lapointe@parl.gc.ca
Viviane,Lapointe,Viviane Lapointe,Sudbury,Ontario,Liberal,viviane.lapointe@parl.gc.ca
Andréanne,Larouche,Andréanne Larouche,Shefford,Quebec,Bloc Québécois,andreanne.larouche@parl.gc.ca
Patricia,Lattanzio,Patricia Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal,patricia.lattanzio@parl.gc.ca
Stéphane,Lauzon,Stéphane Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,stephane.lauzon@parl.gc.ca
Ginette,Lavack,Ginette Lavack,St. Boniface—St. Vital,Manitoba,Liberal,ginette.lavack@parl.gc.ca
Steeve,Lavoie,Steeve Lavoie,Beauport—Limoilou,Quebec,Liberal,steeve.lavoie@parl.gc.ca
Philip,Lawrence,Philip Lawrence,Northumberland—Clarke,Ontario,Conservative,philip.lawrence@parl.gc.ca
Andrew,Lawton,Andrew Lawton,Elgin—St. Thomas—London South,Ontario,Conservative,andrew.lawton@parl.gc.ca
Dominic,LeBlanc,Dominic LeBlanc,Beauséjour,New Brunswick,Liberal,dominic.leblanc@parl.gc.ca
Eric,Lefebvre,Eric Lefebvre,Richmond—Arthabaska,Quebec,Conservative,eric.lefebvre@parl.gc.ca
Carlos,Leitão,Carlos Leitão,Marc-Aurèle-Fortin,Quebec,Liberal,carlos.leitão@parl.gc.ca
Sébastien,Lemire,Sébastien Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,sebastien.lemire@parl.gc.ca
Branden,Leslie,Branden Leslie,Portage—Lisgar,Manitoba,Conservative,branden.leslie@parl.gc.ca
Chris,Lewis,Chris Lewis,Essex,Ontario,Conservative,chris.lewis@parl.gc.ca
Leslyn,Lewis,Leslyn Lewis,Haldimand—Norfolk,Ontario,Conservative,leslyn.lewis@parl.gc.ca
Joël,Lightbound,Joël Lightbound,Louis-Hébert,Quebec,Liberal,joël.lightbound@parl.gc.ca
Dane,Lloyd,Dane Lloyd,Parkland,Alberta,Conservative,dane.lloyd@parl.gc.ca
Ben,Lobb,Ben Lobb,Huron—Bruce,Ontario,Conservative,ben.lobb@parl.gc.ca
Wayne,Long,Wayne Long,Saint John—Kennebecasis,New Brunswick,Liberal,wayne.long@parl.gc.ca
Tim,Louis,Tim Louis,Kitchener—Conestoga,Ontario,Liberal,tim.louis@parl.gc.ca
Michael,Ma,Michael Ma,Markham—Unionville,Ontario,Liberal,michael.ma@parl.gc.ca
Heath,MacDonald,Heath MacDonald,Malpeque,Prince Edward Island,Liberal,heath.macdonald@parl.gc.ca
Kent,MacDonald,Kent MacDonald,Cardigan,Prince Edward Island,Liberal,kent.macdonald@parl.gc.ca
Steven,MacKinnon,Steven MacKinnon,Gatineau,Quebec,Liberal,steven.mackinnon@parl.gc.ca
Shuvaloy,Majumdar,Shuvaloy Majumdar,Calgary Heritage,Alberta,Conservative,shuvaloy.majumdar@parl.gc.ca
Chris,Malette,Chris Malette,Bay of Quinte,Ontario,Liberal,chris.malette@parl.gc.ca
Gaétan,Malette,Gaétan Malette,Kapuskasing—Timmins—Mushkegowuk,Ontario,Conservative,gaetan.malette@parl.gc.ca
James,Maloney,James Maloney,Etobicoke—Lakeshore,Ontario,Liberal,james.maloney@parl.gc.ca
Jacob,Mantle,Jacob Mantle,York—Durham,Ontario,Conservative,jacob.mantle@parl.gc.ca
Richard,Martel,Richard Martel,Chicoutimi—Le Fjord,Quebec,Conservative,richard.martel@parl.gc.ca
Elizabeth,May,Elizabeth May,Saanich—Gulf Islands,British Columbia,Green Party,elizabeth.may@parl.gc.ca
Dan,Mazier,Dan Mazier,Riding Mountain,Manitoba,Conservative,dan.mazier@parl.gc.ca
Kelly,McCauley,Kelly McCauley,Edmonton West,Alberta,Conservative,kelly.mccauley@parl.gc.ca
Jennifer,McKelvie,Jennifer McKelvie,Ajax,Ontario,Liberal,jennifer.mckelvie@parl.gc.ca
David,McKenzie,David McKenzie,Calgary Signal Hill,Alberta,Conservative,david.mckenzie@parl.gc.ca
Ron,McKinnon,Ron McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,ron.mckinnon@parl.gc.ca
Jill,McKnight,Jill McKnight,Delta,British Columbia,Liberal,jill.mcknight@parl.gc.ca
Greg,McLean,Greg McLean,Calgary Centre,Alberta,Conservative,greg.mclean@parl.gc.ca
Stephanie,McLean,Stephanie McLean,Esquimalt—Saanich—Sooke,British Columbia,Liberal,stephanie.mclean@parl.gc.ca
Heather,McPherson,Heather McPherson,Edmonton Strathcona,Alberta,NDP,heather.mcpherson@parl.gc.ca
Eric,Melillo,Eric Melillo,Kenora—Kiiwetinoong,Ontario,Conservative,eric.melillo@parl.gc.ca
Alexandra,Mendès,Alexandra Mendès,Brossard—Saint-Lambert,Quebec,Liberal,alexandra.mendes@parl.gc.ca
Costas,Menegakis,Costas Menegakis,Aurora—Oak Ridges—Richmond Hill,Ontario,Conservative,costas.menegakis@parl.gc.ca
Lena,Metlege Diab,Lena Metlege Diab,Halifax West,Nova Scotia,Liberal,lena.metlegediab@parl.gc.ca
Marjorie,Michel,Marjorie Michel,Papineau,Quebec,Liberal,marjorie.michel@parl.gc.ca
Shannon,Miedema,Shannon Miedema,Halifax,Nova Scotia,Liberal,shannon.miedema@parl.gc.ca
Marc,Miller,Marc Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,marc.miller@parl.gc.ca
